Date,Day,Month,Year,Day_of_Week,Quarter,Lag_7,Lag_30,Rolling_7,Rolling_30,Predicted_Revenue
2025-01-01,1,1,2025,2,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,4.8723764e+07
2025-01-02,2,1,2025,3,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.336073e+07
2025-01-03,3,1,2025,4,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.201281e+07
2025-01-04,4,1,2025,5,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.087846e+07
2025-01-05,5,1,2025,6,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.2479652e+07
2025-01-06,6,1,2025,0,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.2846496e+07
2025-01-07,7,1,2025,1,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3400964e+07
2025-01-08,8,1,2025,2,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3286492e+07
2025-01-09,9,1,2025,3,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3444364e+07
2025-01-10,10,1,2025,4,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.177274e+07
2025-01-11,11,1,2025,5,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.0457764e+07
2025-01-12,12,1,2025,6,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.175566e+07
2025-01-13,13,1,2025,0,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.4434356e+07
2025-01-14,14,1,2025,1,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.429065e+07
2025-01-15,15,1,2025,2,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3469124e+07
2025-01-16,16,1,2025,3,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3165616e+07
2025-01-17,17,1,2025,4,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.1562876e+07
2025-01-18,18,1,2025,5,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.1676096e+07
2025-01-19,19,1,2025,6,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3866656e+07
2025-01-20,20,1,2025,0,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3865684e+07
2025-01-21,21,1,2025,1,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.4626916e+07
2025-01-22,22,1,2025,2,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.330447e+07
2025-01-23,23,1,2025,3,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3929988e+07
2025-01-24,24,1,2025,4,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.2680388e+07
2025-01-25,25,1,2025,5,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.176384e+07
2025-01-26,26,1,2025,6,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3399988e+07
2025-01-27,27,1,2025,0,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.283844e+07
2025-01-28,28,1,2025,1,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3192304e+07
2025-01-29,29,1,2025,2,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.2024536e+07
2025-01-30,30,1,2025,3,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.194853e+07
2025-01-31,31,1,2025,4,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.22396e+07
2025-02-01,1,2,2025,5,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,4.8363164e+07
2025-02-02,2,2,2025,6,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3692956e+07
2025-02-03,3,2,2025,0,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.468816e+07
2025-02-04,4,2,2025,1,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.419528e+07
2025-02-05,5,2,2025,2,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3607816e+07
2025-02-06,6,2,2025,3,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.2526124e+07
2025-02-07,7,2,2025,4,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.1187436e+07
2025-02-08,8,2,2025,5,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.1838544e+07
2025-02-09,9,2,2025,6,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.1968364e+07
2025-02-10,10,2,2025,0,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.36264e+07
2025-02-11,11,2,2025,1,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3999016e+07
2025-02-12,12,2,2025,2,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3279908e+07
2025-02-13,13,2,2025,3,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.430434e+07
2025-02-14,14,2,2025,4,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.2071936e+07
2025-02-15,15,2,2025,5,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.189486e+07
2025-02-16,16,2,2025,6,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.195468e+07
2025-02-17,17,2,2025,0,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3814348e+07
2025-02-18,18,2,2025,1,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.592604e+07
2025-02-19,19,2,2025,2,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.52959e+07
2025-02-20,20,2,2025,3,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.406075e+07
2025-02-21,21,2,2025,4,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3046384e+07
2025-02-22,22,2,2025,5,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.2459616e+07
2025-02-23,23,2,2025,6,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.323623e+07
2025-02-24,24,2,2025,0,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.4134276e+07
2025-02-25,25,2,2025,1,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.4950132e+07
2025-02-26,26,2,2025,2,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.44706e+07
2025-02-27,27,2,2025,3,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.281544e+07
2025-02-28,28,2,2025,4,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.1447604e+07
2025-03-01,1,3,2025,5,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,4.8820776e+07
2025-03-02,2,3,2025,6,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.466001e+07
2025-03-03,3,3,2025,0,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.504336e+07
2025-03-04,4,3,2025,1,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.455048e+07
2025-03-05,5,3,2025,2,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3963016e+07
2025-03-06,6,3,2025,3,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.2584164e+07
2025-03-07,7,3,2025,4,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.1245476e+07
2025-03-08,8,3,2025,5,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.1896584e+07
2025-03-09,9,3,2025,6,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.196083e+07
2025-03-10,10,3,2025,0,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.368444e+07
2025-03-11,11,3,2025,1,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.4057056e+07
2025-03-12,12,3,2025,2,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3337948e+07
2025-03-13,13,3,2025,3,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.436238e+07
2025-03-14,14,3,2025,4,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.2129976e+07
2025-03-15,15,3,2025,5,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.19529e+07
2025-03-16,16,3,2025,6,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.1947148e+07
2025-03-17,17,3,2025,0,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3872388e+07
2025-03-18,18,3,2025,1,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.598408e+07
2025-03-19,19,3,2025,2,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.535394e+07
2025-03-20,20,3,2025,3,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.411879e+07
2025-03-21,21,3,2025,4,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.3104424e+07
2025-03-22,22,3,2025,5,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.2517656e+07
2025-03-23,23,3,2025,6,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.32287e+07
2025-03-24,24,3,2025,0,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.4192316e+07
2025-03-25,25,3,2025,1,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.5008172e+07
2025-03-26,26,3,2025,2,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.452864e+07
2025-03-27,27,3,2025,3,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.2968264e+07
2025-03-28,28,3,2025,4,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.1100612e+07
2025-03-29,29,3,2025,5,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.1278956e+07
2025-03-30,30,3,2025,6,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.1307996e+07
2025-03-31,31,3,2025,0,1,55640328.66707144,56416019.97666667,55640328.66707144,56416019.97666667,5.2538096e+07
